Titre,Nom_Entreprise,Adresse,Salaire,Descriptif_du_poste,Date_de_publication,métier_sc,loc_sc,Date_sc,Identifiant
Data Architect – Paris – F/H,Accenture,Paris (75),vide,"Paris (75)
Vos connaissances disent souvent que vous êtes au fait des dernières innovations ? Votre entourage est étonné par votre capacité à apprendre toujours plus ? Vous portez une attention particulière à votre bien-être dans votre environnement de travail et vous pensez que la diversité permet à toutes et à tous de progresser et d’innover ensemble ?
Rejoignez Accenture et réalisez demain. Dès maintenant.
En tant que Data Architect, selon votre expérience, quelles seront vos missions ?
Vous accompagnez nos clients dans la création et la mise en œuvre de leur organisation de maitrise des données
Vous définissez et mettez en œuvre les démarches de data management permettant d’assurer la connaissance des données, la maitrise de leur qualité et de leur utilisabilité à travers les échanges
Vous mettez en place et faites évoluer des systèmes d’échange de données de type API Gateway ou Bus de données
Vous apportez au sein de projets pluridisciplinaires votre expertise technologique sur les plateformes Big Data
Vous contribuez à l’évolution de la pratique d’architecture des données en animant une communauté thématique ou dispensant des formations

Le métier de Data Architect est fait pour vous si :
Vous connaissez les cadres de référence d’architecture et de gestion des données (TOGAF, DMBOK)
Vous maitrisez des techniques de modélisation d’architecture et de données (Archimate, UML, Merise)
Vous avez implémenté des systèmes d’échanges de données et d’exposition de services (API Gateway comme Apigee ou Mulesoft)
Vous avez conçu l’architecture et mis en œuvre des briques technologiques de plateformes Big Data (Collecte, Stockage, Traitement, Visualisation)
Vous tirerez également votre épingle du jeu grâce aux éléments suivants :
Vous êtes curieux et ouvert d’esprit vous incitant à vous aventurer au-delà des sentiers battus
Vous avez de bonnes qualités de communication vous permettant d’interagir avec différents types d’acteurs et animer des sessions de travail collaboratif
Vous êtes pédagogue et aimez partager vos connaissances et vos travaux afin de faire progresser vos collègues
Accenture, c’est une communauté de plus de 450 000 talents qui innovent ensemble afin d’améliorer nos modes de vie et de travail. C’est en combinant nos expertises en stratégie, digital, consulting, technologie, opérations et sécurité que nous servons les plus grandes entreprises mondiales et les aidons à se transformer et à dynamiser leur croissance.
Au sein d’Accenture, nous vous proposons de rejoindre Accenture Technology, où vous assurerez l’interface, tout au long d’un projet, entre des besoins business et des besoins techniques pour garantir la pertinence des solutions proposées et piloterez les plus grands projets faisant appel aux dernières technologies mais aussi des projets très courts et opérationnels pour améliorer la vie des utilisateurs.
Envie d’en savoir plus sur le quotidien des collaborateurs Accenture ? Posez-leur directement vos questions.
Déjà prêt.e à passer à la vitesse du changement ? Postulez.
il y a 9 mois
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=77952e82062d99f4&advn=4000183153492290
Lead Data Architect (F/H),Easy Partner,Paris (75),75 000 € par an,"Paris (75)
75 000 € par an
La Société :
Nous recherchons un(e) Lead Data Architect pour le compte de l’un des premiers groupe Média en France, dont la production s’étend de la presse écrite aux contenus et supports numériques. Ils gèrent quelques centaines de millions de hits http par jour à travers leurs différents sites internet.
Au sein de l’équipe Data du groupe et rattaché(e) au CTO, vous êtes responsable de la collecte, du traitement et de l’activation de la donnée.

Le poste :
Parmi une équipe de 6 personnes, composée de Data Ingénieurs et Data Architect, vous serez confronté(e) aux problématiques de gros volumes de données (Analyse de la donnée, personnalisation et recommandation de contenus, segmentation de l’audience )

Vos missions seront les suivantes :
Gérer les projets et encadrer une équipe composée d’ingénieurs Data et BI
Faire évoluer et maintenir l’architecture Big Data du groupe dans un environnement Cloud AWS
Garantir la cohérence, l’intégrité et la disponibilité de la donnée
Optimiser les coûts d’exploitation de l’architecture
APIser la plateforme
Mettre à disposition des outils pour les Data Scientists dans le but d’améliorer la collaboration et la productivité

Environnement technologique : Hadoop, Spark, Scala, Python, AWS (S3, Redshift, EMR, EC2), Airflow, Ansible, GIT, Jenkins

Le Profil :
3 ans d’expérience minimum sur un poste de Lead Data Architect
Vous maitrisez l’écosystème Big Data (Spark, Scala, Python) ainsi que le Cloud AWS
Vous avez déjà une première expérience en management d’équipes et de projets

Les Avantages :
11 jours de RTT/an
Restaurant d’entreprise
CE
Tickets Restaurant & Mutuelle
Supers locaux en plein cur de Paris
carriere-info - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=9e65d2ab13332e98&advn=2715648309700515
Data Architecte F/H,Sogetek,Saint-Maur-des-Fossés (94),vide,"Saint-Maur-des-Fossés (94)
Introduction
Depuis plus de 33 ans SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.

SOGETEK met à la disposition des plus grandes entreprises des spécialistes compétents selon deux modes :

Assistance technique auprès des clients sur des applications industrielles et techniques nécessitant une réelle compétence en :

Développement logiciel embarqué,
Développement logiciel applicatif natif
Administrateurs Systèmes et Réseaux
Électroniciens Analogique / Numérique / VHDL / FPGA / R.F.
Réalisation de projets clé en main avec une obligation de résultat : « forfait » au sein de trois laboratoires dédiés :

Labo Temps Réel
Labo Natif
Labo TMA Ingénierie systèmes et réseaux
Vos responsabilités
Pour une mission de 18 mois au sein de l’un de nos clients qui assure un accompagnement permanent de ses clients en ingénierie des solutions, formation, assistance, conseils, support et maintenance.

Nous sommes à la recherche d’un Data Architecte qui aura pour missions de :

Organiser la récupération des données brutes,
Gérer les moyens techniques avec les équipes informatiques et les métiers fournisseurs de données,
Conseiller, planifier et mettre en place l’infrastructure de gestion de données,
Assurer la cohérence de la structure des bases de données et des logiciels permettant de répondre aux besoins et aux enjeux de l’entreprise,
Créer l’architecture système de gestion de données de telle sorte que l’acquisition, la manipulation, la circulation et la restitution des données soient facilitées,
Prévoir comment et quand les différentes sources de données et les différents outils d’analyse seront mis en ligne et comment ils s’intégreront,
Affiner et surveiller en permanence l’infrastructure mise en place,
Assurer l’interlocution avec le data analyst, auquel sont fournies les données brutes à traiter,
Votre profil
Vous devez posséder des compétences particulières, notamment en ingénierie informatique.

Vous serez en effet amené à utiliser des outils spécifiques de BI et du Big Data, notamment les outils de traitement des données pour transformer les données brutes en informations utiles.

La maîtrise des bases de données référentes du marché est requise qu’elles soient SQL, NoSQL ou en mémoire.

Des compétences en marketing sont également requises pour vous permettre de conseiller les dirigeants de l’entreprise dans ce domaine. La rigueur est indispensable pour pouvoir traiter correctement la quantité de données disponibles.

Vous faites preuve d'autonomie et d'esprit de synthèse. Vous aimez travailler sur des sujets transverses en équipe et êtes capables d'interagir avec des profils divers,

Vous serez en étroite collaboration avec le Data Analyste auquel vous communiquerez les données à traiter.

Vous êtes force de proposition en vous assurant de bien saisir les enjeux métiers et les problématiques de Business Intelligence.

Vous parlez un anglais courant.
StepStone FR - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=fb868281b91dbb49&advn=6251826015201314
Data Architect,MASTER DATA SOLUTIONS,Levallois-Perret (92),55 000 € par an,"Levallois-Perret (92)
55 000 € par an
Qui recrutons-nous ? Un Data ArchitectVotre serez amené(e) à : Définir les structures des données utilisées par les data scientists, Accompagner et valider les infrastructures d’accueil des données chez nos clients afin de permettre un usage de nos solutions.

Vos connaissances Vous connaissez les langages SQL ? Vous êtes diplômé(e) d’une école d’ingénieur ou diplôme équivalent de niveau master 2 ? Les principes d’architecture « Data Warehouse » et des « puits de données » n’ont plus de secret pour vous ? Les algorithmes sont au cœur de vos débats ? Et l’indexation de la donnée et le modèle conceptuel, vous en pensez-quoi ? Données structurées et les déstructurées, on s’en parle ? L’architecture de données est devenue un véritable hobby et les puits de données votre terrain de jeux ?Alors n’hésitez plus la vie est trop courte, cliquez et postulez !!
LesJeudis.com - il y a 30+ jours
- Continuer pour postuler
Signaler cette offre d'emploi",vide,,,06/10/2019,vjk=7a7f9414d9f6af90&advn=7674958368030736
Data Architect H/F,Avanade,Paris (75),vide,"Paris (75)
Le contexte

Au sein de la Talent Community (TC) Enterprise Technology Architecture (ETA) d’Avanade, vous rejoignez l’équipe Big Data Architecture. Cette dernière a pour responsabilité de répondre aux besoins clients en termes d’architecture et de mise en place des solutions Big Data, on Premises ou sur le Cloud (Microsoft Azure, AWS et Google).

Dans le cadre de projets Big Data nationaux et/ou internationaux pour des grandes entreprises, vous participerez aux missions suivantes :

Définition, mise en œuvre et exploitation de plateformes Big Data
Administration et monitoring de plateformes Big Data
Gestion des données (stockage, organisation, modélisation, processing, gouvernance).
Documentation technique de l’architecture
Industrialisation de plateformes Big Data (DevOps: Git, Terraform, Ansible…)
Implémentation de la sécurité pour les plateformes
Performance Review des plateformes Big Data et l’optimisation de performance
Vous serez également amené(e) à contribuer :
L’accompagnement des architectes juniors dans leur montée en compétence
Avant-ventes (définition et validation de la solution, contribution à la rédaction d’Appels d’Offres, participation aux soutenances des propositions).
La veille technologique autour des solutions de Big Data
Environnement technique:
Ecosystème Microsoft - Azure, Linux, Hadoop, Spark, Kafka, Cloudera, Databricks…
Vous

Vous êtes un ingénieur ou vous avez un diplôme universitaire équivalent en IT. Vous avez une expérience de 3 à 5 ans dans la conception, administration et exploitation des plateformes Big Data. Vous maîtrisez une ou plusieurs de ces technologies : Azure/AWS, Linux, Hadoop, Kafka, Spark, Cloudera, Databricks, Elasticsearch, Clustering, Containers (Kubernetes, Docker…), Terraform, Ansible, Base(s) de données NoSQL, Neo4j, outils de visualisation des données (Kibana, Grafana…)..

Vous avez un bon niveau d'anglais. Vous aimez travailler en équipe tout en étant autonome

Vous souhaitez

Intégrer une société consciente de la valeur de vos compétences, qui investit dans votre intégration, votre formation et votre progression de carrière ?
Développer chaque jour votre expertise au sein de nos équipes passionnées de technologies ?
Intervenir auprès de grandes entreprises nationales et internationales ?
il y a 17 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 17 jours,,,06/10/2019,vjk=d17aced025ef4ade
Data Architect F/H,SENTELIS,Neuilly-sur-Seine (92),vide,"Neuilly-sur-Seine (92)
CDI
VOS PRINCIPALES MISSIONS

:

Conseil

: éclairer et cadrer la transformation digitale du SI et des nouvelles pratiques associées

Mise en œuvre

de socles SI : concevoir et piloter leur réalisation, définir l'offre de services et la gouvernance associées

Pour les plus expérimenté(e)s, vous assurerez un rôle de

responsable de missions

.

Vous contribuerez au développement et à l’enrichissement de

smartfoundations™

, méthodologie dédiée à la plateformisation du SI.

Enfin, au sein d'une équipe passionnée, vous participerez aux actions d’avant-vente, communication presse, marketing, recrutement (…) pour accompagner la croissance du Cabinet.
Profil recherché UN POSTE FAIT POUR VOUS SI…

Vous êtes diplômé(e) d’un Bac+5 (école d’ingénieur, université, …)

Vous avez acquis un vrai savoir-faire dans le design et/ou la mise en œuvre d’architectures de données :

architecture fonctionnelle & Modélisation de données (Entity-Relation, Data Vault, Star/SnowFlakes) ;

référentiels de données ; chaine de valeur décisionnel ; m

odèles d’architecture SI de données (Data Grid, Enterprise Data Hub, Data Lake…) ; gouvernance des données (sécurité des données, gestion des métadonnées, traçabilité des données) ; architecture logique (ETL, MDM, DQM, ODS, DWH, DM) ; architecture technique (dimensionnement, optimisation des performances)

Vous possédez une expertise reconnue en : base de données (in-database, in-memory) ;

solution de qualité de données ; solution de gestion des métadonnées ; solution MDM ; et en outils de reporting, d’analyse, de visualisation et d’exploration de données

Vous avez une bonne connaissance des solutions emblématiques du marché et des solutions émergentes telles que :

Oracle, Teradata, Microsoft, IBM
Informatica, Talend, Orchestra Networks
Presto, SemSoft, Atscale, Denodo
Adaptive, Collibra
Tableau Software, QlickView
Entreprise Sentelis

est un cabinet de conseil en Stratégie, Gouvernance et Architecture du système d'information, spécialisé dans sa transformation par la mise en œuvre de plateformes digitales innovantes et industrielles.

Nos clients sont des décideurs des très grandes entreprises tous secteurs d’activité confondus. Nous connaissons une croissance soutenue et une notoriété grandissante grâce à la pertinence de notre vision et la qualité de nos prestations.

Sentelis recrute sur profil ; capacités, qualités, et potentiel d’évolution sont ce que nous privilégions.
Apec.fr - il y a 18 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 18 jours,,,06/10/2019,vjk=4159fbd3ed23d185
Data Architect F/H,COMEXPOSIUM,Puteaux (92),vide,"Puteaux (92)
CDI
Dans le cadre de la mise en place d'une nouvelle plateforme Datalake, nous recrutons un(e) Data Architect afin de passer à la DSI 2.0 ! En lien avec l'ensemble des métiers et fonctions support du groupe, avec les Product Owner DSI, le(la) Data Architect a pour objectif de concevoir et piloter l'architecture data du SI.

Il(Elle) est le garant de l'accès qualitatif aux sources de données. Il(Elle) s'assure de la maîtrise de la donnée et est garant de la qualité de son utilisation (référencement, normalisation, et qualification) afin d'en faciliter l'exploitation par les équipes (Data Analysts et Data Scientists). Il(Elle) met en place la supervision et l'intégration des données de diverse nature qui proviennent de ces sources multiples et vérifie la qualité des données qui entrent dans le Data Lake

Vos missions:
Conception et évolution de l'architecture

Définit, détaille, actualise et met en place une approche formelle pour implémenter des solutions nécessaires au développement et à l'exploitation de l'architecture des SI.

Prend en compte l'interopérabilité, l'adaptabilité, la facilité d'utilisation et la sécurité.

Veille technologique

Étudie en détail les dernières innovations technologiques pour aider à la compréhension des technologies en évolution.

Met au point des solutions originales pour l'intégration de nouvelles technologies.

Innovation :
Envisage des solutions créatives pour fournir de nouveaux concepts, idées, produits ou services.
Profil recherché De formation supérieure bac+4/5 en systèmes d'Information ou bien profil métiers ayant une belle appétence pour la technologie et la data.

5 années d'expérience professionnelle minimum dans le domaine de la data, de l'intégration.

Compétences en modélisation de données, ETL, Solutions de Data/Analytics et Reporting. IA, Machine Learning. Data lake Azure et solutions Microsoft seraient un plus.

Anglais de bon niveau souhaité

Solutions de l'écosystème Microsoft serait un plus

Qualités requises : Autonomie, Fiabilité, Pro-actif, Gestion des priorités, Capacité à travailler en mode projet et notamment agile, un esprit service
Entreprise Comexposium est l'un des leaders mondiaux d'organisation d'événements professionnels et grand public, organisant plus de 132 événements B2B et B2C dans le monde entier couvrant de nombreux secteurs d'activité et notamment l'agroalimentaire, l'agriculture, le commerce et la distribution, le e-commerce, la mode, la sécurité, le digital, la construction, le high-tech, l'optique, l'éducation, la santé et les transports. Présent dans plus de 30 pays, Comexposium accueille annuellement plus de 3,5 millions de visiteurs et 48 000 exposants. Avec un siège basé en France, Comexposium regroupe aujourd'hui près de 900 employés, répartis dans 22 pays. Comexposium se positionne comme un créateur d'échanges et de rencontres entre les individus et le business.

Comexposium is one of the world's leading event organizers. Globally, it hosts more than 132 B2B and B2C events across many different sectors, including food, agriculture, retail, e-commerce, fashion, security, digital, construction, high-tech, optics, education, healthcare and transport. In over 30 countries, Comexposium welcomes more than 3,5 million visitors and 48,000 exhibitors annually. Headquartered in France, Comexposium's nearly 900 employees operate in 22 countries. Comexposium aims to be seen as the place to be, building bridges between people and business.
Apec.fr - il y a 17 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 17 jours,,,06/10/2019,vjk=6beffb22d4c81306
Data Architect,Sutter Mills,Paris 17e (75),vide,"Paris 17e (75)
Temps plein, CDI
About us
Sutter Mills is a data consulting platform supporting the transformation all along the road, with a unique positioning between brands, media companies and tech providers.
We help our clients, primarily C-levels, build a vision, acquire consumer centricity, deliver a deep change in the organization and set the right tech backbone by mobilizing multidisciplinary teams of experts through a unique holistic approach.
The key pillars of the Sutter Mills expertise are:
Data driven strategy consulting: value chain/market disruption, marketing & media strategy, change management
Adtech / martech selection, implementation & operation: DMP | CRM | Web Analytics | CRO | Ad Serving | Programmatic
Consumer insights: quali & quanti, social media/chatbot powered
Big data & advanced analytics: AI Lab, BI, algorithms & machine learning, data viz
Marketing automation & software development
Data risk management: compliance, fraud
Your mission
By joining Sutter Mills, you bring your skills to a dynamic and (wildly) friendly team evolving in a fast-growing environment and actively take part in the development of Sutter Mills.
Operating on behalf of international accounts from very diversified sectors, you will help the clients to visualize their data and to emerge the insights. Your missions would be the following:
Creation of data architecture in the cloud and on premise for the clients
Creation of architecture documents and specifications writing
Client environnement study
Data projects management
Systems & networks analysis / audit
Cloud architecture and finOps optimization
Architecture integration in the existing IS
Organisation definition around architecture
Your profile
Master degree in engineering or equivalent with a specialisation on IS, computer science, big data, etc.
4-year experience at least in big data development
AWS, GCP or Azur certification(s)
Experience with the NoSQL & Hadoop technologies
Knowledge in terms of architecture patterns
Experience in the app development or in the data engineering / data science
Mastering of architecture references
Full oral and written proficiency in French & in English
You fit our profile and you are looking for a new and exciting challenge: don’t hesitate and come meet us!
Recruitment process
Sutter Mills recruitment process is designed to evaluate how do candidates match Sutter Mills’ core requirements, aka the 3Cs:
Competency > know how & experience
Consulting > soft skills, client & stakeholder management (internal/external)
Culture > adherence to core values
The 3Cs are the cornerstone of the Sutter Mills' project, based on the quality of delivery and the team cohesiveness so that every individual can achieve its potential.
The recruitment process comprises a maximum of 4 interviews, with HR, a Consultant or a Manager, and at least one of the Managing Directors, whereupon Sutter Mills is committed to provide you an answer at the shortest possible notice.
Job Types: Full-time, Permanent
il y a 26 jours
Signaler cette offre d'emploi",il y a 26 jours,,,06/10/2019,vjk=f677f21b8f0649c5
Senior Data Architect (H/F) - CDI Paris,Kapten,Paris (75),vide,"Paris (75)
La team data recrute !
Au sein d'un pôle data composé d'une vingtaine de personnes, l’équipe Data Engineering est en charge de l’infrastructure data de Kapten et développe une plateforme à disposition des équipes data analysts et scientists mais aussi des différents métiers.
Cette plateforme se compose d’un datawarehouse en PostgreSQL, d’un datalake chez Google Cloud Platform (GCP) basé sur BigQuery et Airflow, d’une streaming platform basée sur Beam.
Rattaché(e) au Data engineer manager, vos missions seront les suivantes :
Vous serez amené(e) à encadrer techniquement et à apporter votre expertise sur des sujets data à l’équipe data engineering mais aussi à tous les métiers de la donnée ;
Vous apporterez vos bonnes pratiques en terme de développement et d’architecture ;
Vous concevrez des parties importantes de l’architecture de données de Kapten ;
Vous participez à la construction et à l’exploitation de la plateforme de données (streaming + batch) ;
Vous travaillerez avec les différents stakeholder (data, production, métier, produit) ;
Vos travaux auront un impact direct et rapide sur l’usage de la donnée à Kapten et sur la productivité de l’équipe data engineering. Vous travaillerez dans un environnement agile qui valorise autant la qualité que la capacité à livrer.
Requirements
Issu(e) d'un Bac+4/5 minimum d'école d'ingénieur ou équivalent, vous justifiez d'une expérience de 10 ans minimum
Outils techniques :
Python et Java, SQL
Architecture cloud (Google Cloud Platform)
Airflow
TDD, Scrum
Outils DevOps (Ansible, Terraform, Docker, Kubernetes)
Notre process:
1. Entretien téléphonique RH (20 minutes)
2. Entretien avec le Lead Data Engineer et la chargée de recrutement (1 heure)
3. Test technique (@home) (3-5 heures)
4. Entretien technique avec le Lead data engineer et un data engineer de l'équipe (1 heure)
5. Entretien avec le Head of data puis le CTO (30 minutes)
6. Offre !
Benefits
Notre philosophie au travail :
Un esprit sain dans un corps sain : panier de fruits, thé et café offert, cours de yoga, douches pour les sportifs
Un environnement de travail agréable : bureaux neufs avec une vue à 360° de La Défense au Sacré-Cœur, jeux vidéo, ping-pong, cafétéria...
… qui s’adapte à vos besoins : ordinateur au choix
Un désamour assumé du métro : 100 euros de crédits Kapten par mois
Nos références :
Découvrez les avis Glassdoor de vos futurs collaborateurs ici
Suivez notre actualité sur notre page LinkedIn
Rendez-vous dans les coulisses de Kapten sur notre page Welcome to the jungle ou sur notre chaîne Youtube
il y a 26 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 26 jours,,,06/10/2019,vjk=203297cc680a6575
DATA ARCHITECTE / INGENIEUR DATA F/H,FONDATION A DE ROTHSCHILD,Paris 19e (75),vide,"Paris 19e (75)
CDI
Les domaines hautement spécialisés de la FOR ont permis la collecte sur le long terme de nombreuses données très diversifiées et à grandes valeur ajoutée, pour la recherche et l’amélioration de la prise en charges des patients. Elles nécessitent parfois d’être mieux structurées, enrichies et mises à disposition plus facilement, des chercheurs et praticiens de la Fondation

S’inscrivant dans le Schéma Directeur en place, la Fondation est à la recherche de sa/son Data Architecte qui rejoindra l’Unité Data Science. Elle/il aura pour mission la gestion de la mise en place d’un nouvel entrepôt de données transversal au sein de la FOR et en lien direct avec la DSI

En appui au Responsable de l’Unité Data Science, la/le Data Architecte aura pour mission d’apporter son expertise en termes d’architecture Data et notamment fournir aux métiers des bases de données structurées et facilement exploitables à des fin de recherche et d’usage pour des médecins et Data Scientistes

Elle/il sera impliqué(e) dans les choix et la mise en œuvre de solutions d’exploitation et dans l’aide à la définition de la stratégie Data de la Fondation à court et moyen termes

Gestion de la mise en place d’un nouvel Entrepôt de données (avec la DSI)

Gérer et encadrer la construction et l’exploitation d’un nouvel entrepôt de données (SQL et NoSQL) basé sur une technologie propriétaire.

Rédaction des spécifications générales et détaillées du projet

Mise en place des structures du projet et des règles de fonctionnement (méthodes, outils de pilotage, indicateurs)

Évaluation des risques et hypothèses associés au projet et plan d’actions

Pilotage et mesure de l'état d'avancement ( tableaux de bord, indicateurs, planification des comités de pilotage)

Validation des livrables, organisation des déploiements

Gestion et réalisation tests et recettes

Formation et aide à la conduite du changement

Organisation interfaces et reprises de données

Pilotage des prestataires

Organisation de la gestion des droits utilisateurs

Mise en place de procédures formalisées concernant l'utilisation des applications

Suivi des applications (paramétrage, maintenance corrective et évolutive)

Supervision des interfaces inter applicatives, connaissance des protocoles d’échange

Accompagnement et support technique de projets métiers

Dans le cadre de l’accompagnement métier réalisé par l’Unité Data Science, apporter son expérience et expertise sur des problématiques métiers précises dans le domaine de la recherche en santé

En appui au Responsable de l’unité Data Science, accompagner, encadrer et réaliser techniquement des projets Data métiers (structuration de bases de données exploitables à partir de données très variées, provenant d’une grande diversité de sous bases (SQL, No SQL, fichiers, images, vidéos, son)

Autres

Etre force de proposition en termes d’évolution de l’environnement Data de la FOR (environnement Big Data Open Source notamment). Assurer une veille technologique : actualité, nouveauté, applicatifs, outils, progiciels, matériel
Profil recherché Ecole d’ingénieur, Formation supérieure Bac+4 /+5

5 ans d’expérience ou plus dans le domaine des bases de données, Business Intelligence, Entrepôts de données structurées et non structurées

Compétences fortes en bases de données (Oracle, SQL Server) et langages afférents (SQL)

Mise en œuvre effective de DataWarehouse, ou mieux, de DataLake

Maitrise de solutions de type Power BI ou Qlick Sense

Bonne compréhension des architectures informatiques (infrastructure, réseaux, sécurité)

Rigoureux, autonome et responsable, organisé et aimant travailler de façon collaborative

A l’écoute des besoins utilisateurs et esprit de synthèse

Langages : SQL, Java, Python, Scala

Idéalement : connaissance du milieu médical, connaissance forte voire mise en œuvre de solutions de type NoSQL, technologies Hadoop, …

Entreprise A propos de la Fondation Adolphe de Rothschild :
Situé au cœur du 19ème arrondissement de Paris, cet hôpital universitaire créé en 1905 est spécialisé dans toutes les pathologies de la tête et du cou : ophtalmologie, neurologie, ORL… des adultes et des enfants.

Cet établissement de santé privé d’intérêt collectif (ESPIC) propose une prise en charge d’excellence en secteur 1 et assure, chaque année, plus de 400 000 consultations et actes techniques et plus de 45 000 passages aux urgences ophtalmologiques. Disposant de plateaux techniques de dernière génération et d’experts reconnus au niveau mondial, les services de la Fondation apparaissent régulièrement en tête des classements des meilleurs hôpitaux français. Assurant le continuum soins, recherche et formation, la Fondation pilote plus de 150 études de recherche clinique, publie plus de 200 articles scientifiques par an et forme chaque année près de 700 étudiants. Reconnue d’utilité publique, la Fondation est habilitée à recevoir des dons et des legs.

Pour plus d’information : www.for.paris
Apec.fr - il y a 22 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 22 jours,,,06/10/2019,vjk=1405284468b77441
Data Architect (Banking) F/H,AIYO GROUP,Puteaux (92),vide,"Puteaux (92)
CDI
Votre mission:
Nous recherchons des gestionnaire expérimentés spécialisés dans l

'Architecture de Données

pour le compte d’établissements bancaires:
Modélisation du systèmes informatiques

L'élaboration de modèle de données robuste et pragmatique

La définition, l'élaboration et la promotion de stratégies d'architecture de données

Créer et maintenir des productions de rapports

Réviser, tenir à jour et promouvoir les librairies de données, la gouvernance, la lignée et le cycle de vie
Profil recherché Profil recherché

Au moins 5 ans d'expérience dans des projets de stockage de données bancaires

De formation bac +4/5 (école de commerce, ingénieur ou universitaire)

Maîtrise de l'architecture des bases de données

Maîtrise de la modélisation des données

Expérience des outils de modélisation de données

Expérience de travail sur des projets de données complexes et de grande envergure
Entreprise Fondée en 2016 par deux professionnels de la Finance, AiYO est spécialisée dans l’intervention opérationnelle à destination des Institutions Financières.

Notre Culture:
Adaptabilité et curiosité sont les valeurs fondamentales d’AiYO. Notre équipe d’experts les décline au quotidien afin de garantir la satisfaction de ses clients.

Notre Forces:
La principale force d’AiYO réside dans la diversité du réseau de clients prestigieux et d’experts, entretenu depuis de nombreuses années dans le domaine des marchés de capitaux.

Website: https://aiyo.fr/
Apec.fr - il y a 29 jours
- Continuer pour postuler
Signaler cette offre d'emploi",il y a 29 jours,,,06/10/2019,vjk=40cb39170d15a1fa
Senior Data Architect - CIB,AiYO Group,Paris (75),vide,"Paris (75)
Temps plein, CDI
Fondée en 2016 par deux professionnels de la Finance, AiYO est spécialisée dans l’intervention opérationnelle à destination des Institutions Financières.
Notre Culture:
Adaptabilité et curiosité sont les valeurs fondamentales d’AiYO. Notre équipe d’experts les décline au quotidien afin de garantir la satisfaction de ses clients.
Notre Force:
La principale force d’AiYO réside dans la diversité du réseau de clients prestigieux et d’experts, entretenu depuis de nombreuses années dans le domaine des marchés de capitaux.
Website: https://aiyo.fr/
Votre mission:
Nous recherchons des gestionnaire expérimentés spécialisés dans l'Architecture de Données pour le compte d’établissements bancaires:
Modélisation du systèmes informatiques
L'élaboration de modèle de données robuste et pragmatique
La définition, l'élaboration et la promotion de stratégies d'architecture de données
Créer et maintenir des productions de rapports
Réviser, tenir à jour et promouvoir les librairies de données, la gouvernance, la lignée et le cycle de vie
Profil recherché
Au moins 5 ans d'expérience dans des projets de stockage de données bancaires
De formation bac +4/5 (école de commerce, ingénieur ou universitaire)
Maîtrise de l'architecture des bases de données
Maîtrise de la modélisation des données
Expérience des outils de modélisation de données
Expérience de travail sur des projets de données complexes et de grande envergure
Type d'emploi : Temps plein, CDI
Expérience:
Banking Data Warehouse Projects: 5 ans (Requis)
Langue:
English (Requis)
il y a 30+ jours
Signaler cette offre d'emploi",il y a 30+ jours,,,06/10/2019,vjk=2516cead140f6a14
